date,result,prediction
2024-01-08 19:32:06,LONG,LONG
2024-01-08 20:43:26,LONG,LONG
2024-01-08 20:51:41,LONG,LONG
2024-01-08 20:59:51,LONG,LONG
2024-01-08 21:24:54,LONG,SHORT
2024-01-08 21:36:34,LONG,LONG
2024-01-08 22:15:40,LONG,LONG
2024-01-08 22:32:11,SHORT,LONG
2024-01-09 01:29:53,SHORT,LONG
2024-01-09 03:22:46,SHORT,SHORT
2024-01-09 03:33:04,SHORT,SHORT
2024-01-09 03:37:54,LONG,SHORT
2024-01-09 03:56:26,LONG,SHORT
2024-01-09 08:02:53,SHORT,LONG
2024-01-09 08:42:31,SHORT,LONG
2024-01-09 11:54:51,SHORT,LONG
2024-01-09 15:56:35,LONG,SHORT
2024-01-09 15:57:52,LONG,LONG
2024-01-09 16:01:55,SHORT,LONG
2024-01-27 02:04:03,SHORT,SHORT
2024-01-27 17:44:43,SHORT,SHORT
